barcode,first_type
cellid_000000003-1,Tumor
cellid_000000004-1,Tumor
cellid_000000005-1,Tumor
cellid_000000006-1,Tumor
cellid_000000007-1,Tumor
cellid_000000008-1,Tumor
cellid_000000009-1,Tumor
cellid_000000010-1,Tumor
cellid_000000011-1,Tumor
cellid_000000012-1,Tumor
cellid_000000013-1,Tumor
cellid_000000014-1,Tumor
cellid_000000015-1,Tumor
cellid_000000016-1,Tumor
cellid_000000017-1,Tumor
cellid_000000018-1,Tumor
cellid_000000019-1,Tumor
cellid_000000020-1,Tumor
cellid_000000021-1,Tumor
cellid_000000022-1,Endothelial
cellid_000000023-1,Tumor
cellid_000000024-1,Tumor
cellid_000000025-1,Tumor
cellid_000000026-1,Tumor
cellid_000000027-1,Myeloid
cellid_000000028-1,Tumor
cellid_000000029-1,Tumor
cellid_000000030-1,Tumor
cellid_000000031-1,Fibroblast
cellid_000000032-1,Myeloid
cellid_000000033-1,Tumor
cellid_000000034-1,Myeloid
cellid_000000035-1,Tumor
cellid_000000036-1,Tumor
cellid_000000037-1,Tumor
cellid_000000038-1,Endothelial
cellid_000000039-1,Fibroblast
cellid_000000040-1,Tumor
cellid_000000041-1,Tumor
cellid_000000042-1,Endothelial
cellid_000000043-1,Tumor
cellid_000000044-1,Tumor
cellid_000000045-1,Tumor
cellid_000000046-1,Tumor
cellid_000000047-1,Tumor
cellid_000000048-1,Tumor
cellid_000000049-1,Tumor
cellid_000000050-1,Tumor
cellid_000000051-1,Endothelial
cellid_000000052-1,Tumor
cellid_000000053-1,Tumor
cellid_000000054-1,Tumor
cellid_000000055-1,Tumor
cellid_000000056-1,Tumor
cellid_000000057-1,Tumor
cellid_000000058-1,Tumor
cellid_000000059-1,Endothelial
cellid_000000060-1,Tumor
cellid_000000061-1,Myeloid
cellid_000000062-1,Tumor
cellid_000000063-1,Tumor
cellid_000000064-1,Tumor
cellid_000000065-1,Tumor
cellid_000000066-1,Tumor
cellid_000000067-1,Tumor
cellid_000000068-1,Endothelial
cellid_000000069-1,Tumor
cellid_000000070-1,Myeloid
cellid_000000071-1,Tumor
cellid_000000072-1,Tumor
cellid_000000073-1,Tumor
cellid_000000074-1,Tumor
cellid_000000075-1,Tumor
cellid_000000076-1,Tumor
cellid_000000077-1,Myeloid
cellid_000000078-1,Tumor
cellid_000000079-1,Tumor
cellid_000000080-1,Tumor
cellid_000000081-1,Tumor
cellid_000000082-1,Tumor
cellid_000000083-1,Tumor
cellid_000000084-1,Tumor
cellid_000000085-1,Fibroblast
cellid_000000086-1,Tumor
cellid_000000087-1,Myeloid
cellid_000000088-1,Endothelial
cellid_000000089-1,Tumor
cellid_000000090-1,Tumor
cellid_000000091-1,Myeloid
cellid_000000092-1,Fibroblast
cellid_000000093-1,Myeloid
cellid_000000094-1,Tumor
cellid_000000095-1,Tumor
cellid_000000096-1,Tumor
cellid_000000097-1,Tumor
cellid_000000098-1,Tumor
cellid_000000099-1,Tumor
cellid_000000100-1,Tumor
cellid_000000101-1,Tumor
cellid_000000102-1,Tumor
cellid_000000103-1,Tumor
cellid_000000104-1,Tumor
cellid_000000105-1,Tumor
cellid_000000106-1,Tumor
cellid_000000107-1,Myeloid
cellid_000000108-1,Tumor
cellid_000000109-1,Tumor
cellid_000000110-1,Tumor
cellid_000000111-1,Tumor
cellid_000000112-1,Tumor
cellid_000000113-1,Tumor
cellid_000000114-1,Tumor
cellid_000000115-1,Tumor
cellid_000000116-1,Tumor
cellid_000000117-1,Tumor
cellid_000000118-1,Tumor
cellid_000000119-1,Tumor
cellid_000000120-1,Tumor
cellid_000000121-1,Tumor
cellid_000000122-1,Tumor
cellid_000000123-1,Tumor
